datum,colli,zendingen,feestdag
2025-11-13,1252,50,0
2025-11-14,1044,45,0
2025-11-15,367,15,0
2025-11-16,22,1,0
2025-11-17,1589,86,0
2025-11-18,1312,42,0
2025-11-19,927,38,0
2025-11-20,1220,49,0
2025-11-21,985,52,0
2025-11-22,389,15,0
2025-11-23,23,1,0
2025-11-24,1486,64,0
2025-11-25,1342,54,0
2025-11-26,1191,42,0
2025-11-27,1087,47,0
2025-11-28,804,37,0
2025-11-29,419,15,0
2025-11-30,19,1,0
2025-12-01,1427,60,0
2025-12-02,1388,44,0
2025-12-03,1227,49,0
2025-12-04,1200,50,0
2025-12-05,1073,43,0
2025-12-06,393,17,0
2025-12-07,24,1,0
2025-12-08,1935,78,0
2025-12-09,1138,51,0
2025-12-10,1194,50,0
2025-12-11,1073,42,0
2025-12-12,921,36,0
2025-12-13,352,13,0
2025-12-14,26,1,0
2025-12-15,1338,53,0
2025-12-16,1169,45,0
2025-12-17,1246,54,0
2025-12-18,1173,50,0
2025-12-19,1179,43,0
2025-12-20,376,20,0
2025-12-21,23,1,0
2025-12-22,1388,41,0
2025-12-23,1288,69,0
2025-12-24,1123,39,0
2025-12-25,0,0,1
2025-12-26,0,0,1
2025-12-27,478,16,0
2025-12-28,22,1,0
2025-12-29,1363,63,0
2025-12-30,1484,73,0
2025-12-31,1226,62,0
